D:\ProgramData\Anaconda3\envs\HEDL\python.exe D:/allensll/github/citation/lstm.py
Epoch:  0
train loss: 17.36179247946347
train loss: 17.29281575804725
train loss: 16.838750715296694
train loss: 16.38772078943162
train loss: 15.77730892985458
train loss: 14.462679278483579
train loss: 13.416812992674577
train loss: 13.631313986346255
train loss: 12.793837462835876
train loss: 12.152822361581899
train loss: 10.9532443944467
train loss: 19.16095910764924
train loss: 10.315127964444981
train loss: 10.130297462517651
train loss: 10.546262851732644
train loss: 9.846332063766813
train loss: 9.609337447694672
train loss: 9.477970386509943
train loss: 9.379373883957873
train loss: 9.360937856145656
test loss: 9.247399046674374
Epoch:  1
train loss: 9.573293393812598
train loss: 8.911189451400274
train loss: 8.714582125278083
train loss: 8.639087690552358
train loss: 8.56644429286178
train loss: 8.510905964396484
train loss: 8.422575326901466
train loss: 8.588421236056217
train loss: 8.262232166725072
train loss: 8.190843633766448
train loss: 8.087009845148
train loss: 8.032725434163064
train loss: 8.055391979308475
train loss: 7.970267252431312
train loss: 7.9517643933594755
train loss: 8.237412127308513
train loss: 7.9208781246075715
train loss: 7.906432310402911
train loss: 7.87948647311324
train loss: 7.8518444891165515
test loss: 7.3189732948644695
Epoch:  2
train loss: 7.828728042314126
train loss: 7.772852138821207
train loss: 7.736269266513754
train loss: 7.700117787259171
train loss: 7.652964195526219
train loss: 7.630286711445425
train loss: 7.623292063016466
train loss: 7.611862313794218
train loss: 7.5972465096620505
train loss: 7.580295605168167
train loss: 7.568502878368801
train loss: 7.554739177333948
train loss: 7.5479517746254725
train loss: 7.543168398947387
train loss: 7.529563353941745
train loss: 7.5168699962891665
train loss: 7.501055227433622
train loss: 7.480599819718793
train loss: 7.464803108558913
train loss: 7.452048538975579
test loss: 6.85337752889473
Epoch:  3
train loss: 7.447687999995486
train loss: 7.434883191215031
train loss: 7.43141757682586
train loss: 7.428677419648389
train loss: 7.41946318745311
train loss: 7.416163438682525
train loss: 7.407329696705104
train loss: 7.402359776531294
